state, ot, op, egt, rpm, thr
PASS,177,48,85,0,0
,,,,,
HEAT,176,49,86,0,0
HEAT,176,49,85,0,0
HEAT,175,49,86,0,0
HEAT,176,49,86,0,0
HEAT,175,48,86,0,0
HEAT,174,48,85,0,0
HEAT,174,47,85,0,0
HEAT,175,49,86,936,0
HEAT,175,49,86,2184,0
HEAT,175,48,86,2184,0
HEAT,174,49,86,2184,0
HEAT,174,49,85,2184,0
HEAT,173,49,86,2184,0
HEAT,173,49,86,2184,0
HEAT,174,48,86,2184,0
HEAT,174,50,86,2184,0
HEAT,173,50,86,2184,0
HEAT,173,49,86,2184,0
HEAT,173,49,86,2184,0
HEAT,172,49,86,2184,0
HEAT,173,49,86,2184,0
HEAT,172,48,86,2184,0
HEAT,172,49,87,2184,0
HEAT,172,49,88,2808,0
HEAT,172,49,90,2184,0
HEAT,171,49,93,2184,0
HEAT,172,49,95,2184,0
HEAT,171,49,99,2184,0
HEAT,171,48,104,2184,0
HEAT,171,49,108,2184,0
HEAT,171,49,114,2808,0
HEAT,171,48,120,2184,0
HEAT,171,49,126,2808,0
HEAT,171,49,132,2184,0
HEAT,170,49,140,2184,0
HEAT,170,49,146,2184,0
HEAT,170,49,154,2184,0
HEAT,170,49,162,2184,0
HEAT,171,49,170,2808,0
HEAT,170,49,178,2184,0
HEAT,170,49,186,2184,0
HEAT,170,48,195,2808,0
HEAT,170,49,204,2184,0
HEAT,170,48,212,2184,0
HEAT,169,48,221,2184,0
HEAT,170,49,231,2184,0
HEAT,169,49,239,2808,0
HEAT,169,49,248,2184,0
HEAT,169,49,259,2184,0
HEAT,169,49,267,2184,0
HEAT,168,49,277,2184,0
HEAT,168,49,286,2184,0
HEAT,169,49,294,2184,0
HEAT,168,49,303,2184,0
HEAT,168,48,313,2184,0
HEAT,168,48,321,2184,0
HEAT,168,49,330,2184,0
HEAT,168,49,339,2184,0
HEAT,168,48,347,2184,0
HEAT,168,49,356,2184,0
HEAT,168,49,363,2184,0
HEAT,167,49,372,2184,0
HEAT,167,49,381,2184,0
HEAT,168,50,388,2184,0
HEAT,167,49,397,2184,0
HEAT,167,49,405,2184,0
HEAT,167,49,413,2184,0
HEAT,167,49,422,2184,0
HEAT,167,49,428,2808,0
HEAT,167,49,437,2808,0
HEAT,167,49,445,2808,0
HEAT,166,48,453,2808,0
HEAT,167,49,460,2808,0
HEAT,166,49,467,2184,0
HEAT,167,49,476,2184,0
HEAT,167,49,482,2184,0
HEAT,166,49,490,2808,0
HEAT,165,49,497,2808,0
HEAT,167,48,505,2184,0
HEAT,165,49,512,2184,0
HEAT,167,49,519,2808,0
HEAT,166,49,525,2808,0
HEAT,166,48,533,2184,0
HEAT,166,49,541,2184,0
HEAT,166,49,546,2808,0
HEAT,165,49,554,2808,0
HEAT,166,49,560,2184,0
HEAT,165,48,567,2808,0
HEAT,165,49,573,2808,0
HEAT,165,49,580,2184,0
HEAT,165,49,586,2184,0
HEAT,165,49,594,2808,0
HEAT,166,49,600,2184,0
HEAT,165,49,606,2184,0
HEAT,164,49,612,2808,0
HEAT,164,49,617,2184,0
HEAT,165,48,624,2184,0
HEAT,165,49,630,2808,0
